weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Women's Strawweight,overall,best,1,Tatiana Suarez,1.929,10,28,"{""prior_elo"": 1623.328, ""prior_win_rate"": 0.9, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 19.949, ""prior_finish_win_rate"": 0.6}"
Women's Strawweight,overall,best,2,Gillian Robertson,1.564,20,56,"{""prior_elo"": 1608.891, ""prior_win_rate"": 0.7, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": -6.585, ""prior_finish_win_rate"": 0.5}"
Women's Strawweight,overall,best,3,Denise Gomes,1.454,8,182,"{""prior_elo"": 1572.529, ""prior_win_rate"": 0.75, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 112.292, ""prior_finish_win_rate"": 0.375}"
Women's Strawweight,overall,best,4,Virna Jandiroba,1.152,13,35,"{""prior_elo"": 1590.17, ""prior_win_rate"": 0.692, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": -5.348, ""prior_finish_win_rate"": 0.308}"
Women's Strawweight,overall,best,5,Mackenzie Dern,0.956,16,196,"{""prior_elo"": 1580.601, ""prior_win_rate"": 0.688, ""recent_5_win_rate"": 0.6, ""avg_sig_str_differential_per_15"": -0.472, ""prior_finish_win_rate"": 0.312}"
Women's Strawweight,overall,worst,1,Istela Nunes,-1.774,5,399,"{""prior_elo"": 1423.123, ""prior_win_rate"": 0.0, ""recent_5_win_rate"": 0.0, ""avg_sig_str_differential_per_15"": -6.091, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,2,Montserrat Conejo Ruiz,-1.462,5,189,"{""prior_elo"": 1442.922, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -73.478, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,3,Jinh Yu Frey,-1.308,8,931,"{""prior_elo"": 1438.671, ""prior_win_rate"": 0.25, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -27.722, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,4,Ashley Yoder,-1.286,11,938,"{""prior_elo"": 1432.528, ""prior_win_rate"": 0.273, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -10.636, ""prior_finish_win_rate"": 0.0}"
Women's Strawweight,overall,worst,5,Hannah Goldy,-1.082,5,959,"{""prior_elo"": 1452.216, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -15.936, ""prior_finish_win_rate"": 0.2}"
Women's Strawweight,striking,best,1,Denise Gomes,2.915,8,182,"{""avg_sig_str_differential_per_15"": 112.292, ""avg_sig_str_landed_per_15"": 150.445, ""avg_sig_str_absorbed_per_15"": 38.153, ""avg_sig_str_accuracy"": 0.573, ""avg_sig_str_defense"": 0.516, ""avg_kd_for"": 0.375, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,2,Yan Xiaonan,0.809,13,392,"{""avg_sig_str_differential_per_15"": 26.614, ""avg_sig_str_landed_per_15"": 76.858, ""avg_sig_str_absorbed_per_15"": 50.245, ""avg_sig_str_accuracy"": 0.47, ""avg_sig_str_defense"": 0.567, ""avg_kd_for"": 0.154, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,3,Julia Polastri,0.765,5,14,"{""avg_sig_str_differential_per_15"": 16.877, ""avg_sig_str_landed_per_15"": 95.178, ""avg_sig_str_absorbed_per_15"": 78.301, ""avg_sig_str_accuracy"": 0.59, ""avg_sig_str_defense"": 0.585, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,best,4,Amanda Lemos,0.745,15,56,"{""avg_sig_str_differential_per_15"": 12.629, ""avg_sig_str_landed_per_15"": 56.399, ""avg_sig_str_absorbed_per_15"": 43.769, ""avg_sig_str_accuracy"": 0.537, ""avg_sig_str_defense"": 0.567, ""avg_kd_for"": 0.4, ""avg_kd_against"": 0.067}"
Women's Strawweight,striking,best,5,Tecia Pennington,0.732,19,182,"{""avg_sig_str_differential_per_15"": 21.576, ""avg_sig_str_landed_per_15"": 72.855, ""avg_sig_str_absorbed_per_15"": 51.279, ""avg_sig_str_accuracy"": 0.488, ""avg_sig_str_defense"": 0.629, ""avg_kd_for"": 0.053, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,worst,1,Yazmin Jauregui,-2.469,5,602,"{""avg_sig_str_differential_per_15"": -122.734, ""avg_sig_str_landed_per_15"": 92.703, ""avg_sig_str_absorbed_per_15"": 215.437, ""avg_sig_str_accuracy"": 0.332, ""avg_sig_str_defense"": 0.433, ""avg_kd_for"": 0.4, ""avg_kd_against"": 0.6}"
Women's Strawweight,striking,worst,2,Montserrat Conejo Ruiz,-1.908,5,189,"{""avg_sig_str_differential_per_15"": -73.478, ""avg_sig_str_landed_per_15"": 38.818, ""avg_sig_str_absorbed_per_15"": 112.296, ""avg_sig_str_accuracy"": 0.298, ""avg_sig_str_defense"": 0.424, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.2}"
Women's Strawweight,striking,worst,3,Jessica Penne,-1.267,9,567,"{""avg_sig_str_differential_per_15"": -52.066, ""avg_sig_str_landed_per_15"": 42.811, ""avg_sig_str_absorbed_per_15"": 94.878, ""avg_sig_str_accuracy"": 0.365, ""avg_sig_str_defense"": 0.422, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.0}"
Women's Strawweight,striking,worst,4,Ariane Carnelossi,-0.86,6,189,"{""avg_sig_str_differential_per_15"": -26.694, ""avg_sig_str_landed_per_15"": 41.931, ""avg_sig_str_absorbed_per_15"": 68.626, ""avg_sig_str_accuracy"": 0.429, ""avg_sig_str_defense"": 0.405, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.167}"
